indice_tiempo,nivel_general
3/1/2003,140.99
4/1/2003,141.07
5/1/2003,140.52
6/1/2003,140.4
7/1/2003,141.03
8/1/2003,141.06
9/1/2003,141.12
10/1/2003,141.95
11/1/2003,142.3
12/1/2003,142.6
1/1/2004,143.2
2/1/2004,143.34
3/1/2004,144.2
4/1/2004,145.43
5/1/2004,146.3
6/1/2004,147.32
7/1/2004,148
8/1/2004,148.51
9/1/2004,149.45
10/1/2004,150.04
11/1/2004,150.04
12/1/2004,151.3
1/1/2005,153.54
2/1/2005,155
3/1/2005,157.39
4/1/2005,158.16
5/1/2005,159.11
6/1/2005,160.57
7/1/2005,162.18
8/1/2005,162.89
9/1/2005,164.79
10/1/2005,166.07
11/1/2005,168.08
12/1/2005,169.95
1/1/2006,172.12
2/1/2006,172.8
3/1/2006,174.88
4/1/2006,176.58
5/1/2006,177.41
6/1/2006,178.27
7/1/2006,179.37
8/1/2006,180.38
9/1/2006,182
10/1/2006,183.56
11/1/2006,184.86
12/1/2006,186.67
1/1/2007,188.81
2/1/2007,189.38
3/1/2007,190.83
4/1/2007,192.25
5/1/2007,193.05
6/1/2007,193.9
7/1/2007,194.87
8/1/2007,196.01
9/1/2007,197.58
10/1/2007,198.93
11/1/2007,200.63
12/1/2007,202.49
1/1/2008,204.37
2/1/2008,205.33
3/1/2008,207.65
4/1/2008,209.37
